timestamp,value
2014-10-04 00:00:00,23316
2014-10-04 00:30:00,22311
2014-10-04 01:00:00,20470
2014-10-04 01:30:00,18629
2014-10-04 02:00:00,17120
2014-10-04 02:30:00,15544
2014-10-04 03:00:00,14012
2014-10-04 03:30:00,11425
2014-10-04 04:00:00,9541
2014-10-04 04:30:00,5912
2014-10-04 05:00:00,3832
2014-10-04 05:30:00,3230
2014-10-04 06:00:00,3425
2014-10-04 06:30:00,4159
2014-10-04 07:00:00,4720
2014-10-04 07:30:00,5848
2014-10-04 08:00:00,6901
2014-10-04 08:30:00,9611
2014-10-04 09:00:00,11626
2014-10-04 09:30:00,14814
2014-10-04 10:00:00,16839
2014-10-04 10:30:00,18245
2014-10-04 11:00:00,18230
2014-10-04 11:30:00,18322
2014-10-04 12:00:00,18541
2014-10-04 12:30:00,18062
2014-10-04 13:00:00,18008
2014-10-04 13:30:00,18784
2014-10-04 14:00:00,17708
2014-10-04 14:30:00,17998
2014-10-04 15:00:00,18033
2014-10-04 15:30:00,17851
2014-10-04 16:00:00,17046
2014-10-04 16:30:00,17241
2014-10-04 17:00:00,19295
2014-10-04 17:30:00,21740
2014-10-04 18:00:00,22729
2014-10-04 18:30:00,23854
2014-10-04 19:00:00,25857
2014-10-04 19:30:00,26490
2014-10-04 20:00:00,24115
2014-10-04 20:30:00,23384
2014-10-04 21:00:00,23515
2014-10-04 21:30:00,24476
2014-10-04 22:00:00,24455
2014-10-04 22:30:00,25474
2014-10-04 23:00:00,25811
2014-10-04 23:30:00,25847
2014-10-05 00:00:00,25224
2014-10-05 00:30:00,23248
2014-10-05 01:00:00,22772
2014-10-05 01:30:00,20671
2014-10-05 02:00:00,19208
2014-10-05 02:30:00,17300
2014-10-05 03:00:00,15260
2014-10-05 03:30:00,12970
2014-10-05 04:00:00,11168
2014-10-05 04:30:00,6678
2014-10-05 05:00:00,4321
2014-10-05 05:30:00,3259
2014-10-05 06:00:00,3277
2014-10-05 06:30:00,4072
2014-10-05 07:00:00,4566
2014-10-05 07:30:00,5973
2014-10-05 08:00:00,7209
2014-10-05 08:30:00,8999
2014-10-05 09:00:00,10669
2014-10-05 09:30:00,12678
2014-10-05 10:00:00,14511
2014-10-05 10:30:00,16953
2014-10-05 11:00:00,17817
2014-10-05 11:30:00,18894
2014-10-05 12:00:00,18505
2014-10-05 12:30:00,19227
2014-10-05 13:00:00,18361
2014-10-05 13:30:00,18014
2014-10-05 14:00:00,17486
2014-10-05 14:30:00,17816
2014-10-05 15:00:00,17364
2014-10-05 15:30:00,16871
2014-10-05 16:00:00,15497
2014-10-05 16:30:00,15185
2014-10-05 17:00:00,16114
2014-10-05 17:30:00,18312
2014-10-05 18:00:00,19793
2014-10-05 18:30:00,19706
2014-10-05 19:00:00,20198
2014-10-05 19:30:00,19790
2014-10-05 20:00:00,18192
2014-10-05 20:30:00,17701
2014-10-05 21:00:00,16484
2014-10-05 21:30:00,16626
2014-10-05 22:00:00,14889
2014-10-05 22:30:00,14114
